Sentimen	Comment
0	Smg UAS dan klrg bsr beserta team management slalu dlm sehat wal afiat, dan slalu dlmkeselamatan... BarokAllohu
0	Ya Allah lindungilah ulama2 kami yang Istiqomah amiiin3 yarobbal alamin
0	Semoga Allah selalu memberikan kesehatan pada ust
0	ya Allah
0	Alhamdulillah semoga pak ustat
1	Semoga UAS.selalu dlm lindungan Alloh SWT Aamiin
1	Alhamdulillah,Allahumma soli ala muhammmad,wa ala ali muhammad ,senantiasa berkah umurnya ustadz,kami mermerlukan ilmu ilmu ulama,ilmu yg bermanfaat
1	Alhamdulillah ...allah swt suka kepada hambanya yg senantisa merendahkan dirinya kepada allah swt..tangrang hadir menyimak kajian tuan guru,,,,..
0	Asalamualaikum wr wb UAS...taiwan slalu hadir semoga UAS slalu d lindungi Alloh SWT...
1	subhannallah, suatu hidayah kepada kita semua yg d sampaikan ustad Abdul Somad, dan semoga amal ibadah kita semua di terima sisi allah swt amin
0	Subohanallah.... Sehat selalu Ustadz Abd. Somad. Aamiin ya robb.
0	Allohu Akbar... Semoga ustad somad beserta kelurga selalu diberi kesehatan dan umur. Panjang yg beriman... Amiiinn...
1	Alhamdulillah pak UAS .sungguh menggugah kolbuku mendengar tausiah pak UAS.mksh ya alloh mudah 2an alloh memberkahi kita semua .amin ya robbal alamin.
1	Assalamualaikum wbt semoga ustaz uas sehat selalu dan bahagia dunia akhirat Amin
0	Assallamuallaikum Tuan Guru semoga selalu ada dlm lindunganNya Aamiin
1	Bahasanya lantang dan jelas sangat menyentuh hati.
0	Ya allah berikanlah kpd kami ke istiqomahan dalam menjalankan segala perintahmu
0	Assalamu'alaikum ustadz semoga Allah Subhanahu wata'alla melindungi dan Menjaga ustadz dan melimpah kan karunia nya kepada ustadz serta keluarga aamiin allahuma aamiin
0	Semoga Allah membuka hijab kita Aamiin dan semoga uas sehat selalu di panjang kan umur Aamiin
0	Subhanalloh tabarokalloh masyaalloh sukses selalu amin amin allohumma amin kiyayi kita yang selalu di rahmati Alloh SWT... Alloh Akbar
1	Ya Allah.....kapan lah ....aku bisa bertemu langsung dngn UAS.dakwah beliau selalu menyentuh batin dan mencerahkan jalan fikiran ku.aku dan keluargaku rindu....SKL dndn UAS.
1	YAALLAH YA ROB AKU MENANGIS DENGAR CERAMAH PAK UAS, SAYA KERJA DITAIWAN.
0	Smg para ulama yg lurus dlm lindungan Allah amin ya rabb...
1	Tuan guru Ku.. ilmu mu sangat bermanfaat bagi umat..
0	Yaa Allah....rendahkanlah hati hamba beserta anak" hamba kelurga hamba hamba mohon keamounan mu yaraabb ..
0	Semoga sehat selalu UAS Abdul Somad
1	Sy sering mendengar ceramah UAS, banyak ilmu yg sy perolehi, penjelasan yg sangat jelas dan mudah di fahami. Semuga. Allah sentiasa memberi perlindungan pada UAS dan keluarga serta pembantu2. Aamiiiin
0	Bismilah
1	sejuk hatiku klo udh dngr cramah abdul somad masa allh tabarakalloh mudah" di panjangkn umur amiiin
0	Ya allah bukalah pintu hati suami hamba supaya mau melaksanakan sholat,amiiin
0	Smg ustd selalu dlm lindungan Allah swt. Aamiin yra
1	Saya selalu nonton ceramah ustad dan saya mohon kan pada Allah biar apa yg saya dengar menjadi hidayah untuk saya amiin
0	Alhamdulillah....semoga tuan guru selalu diberi kesehatan....
0	Alhamdulilah ..bismilah sehat selalu pak UAS slo hadirÃ‚Âjazakallah
1	Sehat2 Ustadz ya, slalu memberikan ceramah. Aamiin
0	Assalamualaikum warohmatullohhi wabarokatu..tuan guru ustad abdul somad ..dan seluruh umat muslim sedunia...amin
1	...smga gurunda uas sehst sll panjang usia dilapangkan rixki, kami sll rindu wejangan nya Barokaloh...
0	Assalamu allaikum Prof , semoga sht selalu dan selalu dalam lindungan Allah swt Amin y Robbal Alamin
1	Assalamualaikum.. masyaallah tabarakallah.. doa ny selalu yg baikÃƒâ€š untuk tuan guru abdul somad
1	Ya Allah semoga pak ustad selalu dalam lindungan Allah amiin ya robal allamin
0	Hadir Nyimak Tuan Guruku UAS.
1	Alhamdulillah terimakasih ya Allah berikan keberkahan terus buat ustad uas
0	Semoga selalu dalam lindungan Allah SWT ustadz Abdul Somad Aamiin...
0	Semoga ustad di berikan umur yg panjang serta barokah Amiiin
1	Assalamualaikum wr wb Masya Allah dakwahnya sangat menyentuh hati terimakasih atas ilmunya moga UAS dan keluarga sehat selamanya dan selalu di lindungi Allah SWT Aamiin
1	Alhamdulillah...ilmu tuan guru insyaallah baek moga sehat sllu
1	Ustd uas ceramahnya krennn
0	Assallamu allaikum wr,,wb,,semoga tuan guru ustadz uas sehat selau amin
0	Masya Allah Tuan Guru
1	Mntap keeerrren guru tausiyah nya
1	Subhanallah.....sehat selalu pak UAS semoga kita bisa ambil pelajaran nya..Aamiin "ya rabbal'alamiin...
1	Masyaallah ustad kita terbaik lagi tausiah
0	Semoga ustad Abdul solat diberi kesehatan dilimpahkan rejeki yang banyak darahnya makin tinggi amin
0	Semoga sehat slalu ustad Abdul Somat.
0	Assalamualaikum Ustadz..Sehat Selalu Ustadz...semoga selalu dlm lindungan Alloh Subhanahu Wata'ala....
1	Terima kaseh UAS.
1	Semoga sehat dan selalu dalam lindungan Allah SWT ..syukran atas nasihat dan bimbingan nya
1	Masyaa'Alloh bgitu merduy suaray pk ustdz abdus somad LC MA, Masyaa'Alloh bgitu cerdas y beliou, smgat luar biasa, Mdh2an beliou d bri umur yg pnjag, shat kn lah bdan y yaa robb, n jg brtmbah rezeki y, brtmbah jema'ah y yaa robb
0	Alhamdulillah.panjang umur sehat selalu..aminnnnn
0	Bismillahirrahmanirrahim,
1	Rindu dengar ceramah ustadz yg macam ini..penuh ilmu, tegas, lucu tentunya.. barakallah ustadz semoga panjang umur n lancar rezekinya.. aamiinnn.
0	Allah maha besar
1	Semoga paustad Abdul Somad selalu ada dalam lindungan Allah SWT amin ya rabbal Al-Amin
0	Massa Alloh asalamu Alaikum pa ustad semoga sehat selalu amin
0	Masya Allah smg utad sklrga sehat walafiat Aamiin
0	Menhomak lagi, semoga semua dilindungi Alloh
1	Ya Allah berilah kesehatan untuk ustad Abdul somad.agar supaya bisa memberi fatwa yg berguna bagi umat muslim semuanya Aamin.yrb
0	Subhanallah ustad..sehat selalu ustad
0	Subahanallah... semoga Allah SWT senantiasa melindungi guru kita ustadz Abdul Somad...amin
0	Semoga tuan guru UAS sehat..selalu dalam lindungan Alllah SWT...Amiin...
1	Masya Allah,sungguh sangat bermanfaat
1	Saya suka ceramah ustadz Abdul Somad ada yang bisa kita ambil dari berbagai ceramah agama Islam dari Abdul Somad terimakasih kepada ustadz Abdul Somad sudah mencerahkan pintu hati kami terimakasih atas ustadz Somad
0	Assalamu'alaikum wr wb mugi UAS & kita semua sehat sllu,,
0	Semoga ustz ada lindungan nyah alloh swt
1	Trimakasih ustad smua ilmu ny mg mempaat untuk smua hamba allah umat islam,mg ustad Hi somad kt smua slalu d lindungi allah swt untuk yg lebih baik lagi.aamiin yrb...
1	Mantap ceramah nya pak Ustad Abdul Somad.
1	Alhamdulillah, saya bisa mendengar ceramah UAS pagi ini, mudah mudahan UAS selalu sehat
1	Masya Allah Alhamdulilah ini UAS ustadz yg cerdas eg takut demi kebenaran Aamiiin
1	Mantap sangat ustat slalu dilindungi Allah allahuakbar
1	Tetap semangat Pak Ustadz berceramah kami senantiasa mendengarkan
0	SUBHANALLAH
0	Moga uas slalu sht dn di prmudahkn urusan nya aaamiiin
1	Assalamualaikum warahmatullahi wabarakaatuh UAS ,SMG UAS sht,bhgia dunia Achirat sll dlm lindungan Allah SWT. Aamiin. Jazakumullah Chairan UAS ceramah nya sht bermafaat
1	Assalamualaikum warahmatullahi wabraktuh slmt siang guru smgga slalu sehat walapiat slalu dlm lindungan Allah SWT
0	Assalamualaikum, semoga kita semua sehat2 bahagia selalu barokah dunia akhirat aamiin.
0	Semoga kita semua bisa menjaga Shalat kita aamiin
0	Alhamdulillah
0	Subhsnalloh semga alloh lindungi orng 2 alim yaalloh amiiinn
0	Assalamu'alaikum..
0	Semoga Allah SWT selalu melindungi UAS .....
1	Semoga da, i 2 generasi bs sprti UAS... Sngt Mudh d mengrti Ceramah nya... Sngt mndasar k Alquran dan Hadist.
1	Tenang hati tengok wajah ustad (orang soleh) allah maha besar
1	Jujur, ketika dapat ceramah dari pengajian yang menurut saya kayany ada yang keliru...langsung cari pencerahan ke channel ustadz Abdul Somad, Alhamdulillah tercerahkan, semoga ustadz sehat slalu dan dilindungi dari marabahaya.. Aamiin Allahuma Aamiin
0	Assalamualaikum warrokmatullahi wabarrokatu bismilahhirrokmanhirrokim alhamdulilah indramayu hadir nyimak tuan guru semoga sehat selalu bersama keluarga beserta sahabat di lindungi allah di mana pun berada aamiiinnn ya Allah ya rabbal aaalaamiinnn
1	Masya Allah, mudah2an berkah ilmunya
0	Smg ust.sehat wal afiyat bst leluarganya dn smg panjang umur
0	Ya Allah semoga UAS diberi kesehatan
0	Sehat slalu pak ustad
1	Terimakasih paustad ataspecerahannya semoga paustad sehat slalu amin
1	Alhamdulillahi robil allamiin,terimakasih pak Abdul Shomad ceramahnya ,pencerahannya.semoga menjadi tuntunan.
0	Assalamualaikum semoga UAS sehat selalu
0	MASYA ALLAH...
0	Alhamdulillah
1	Tiap hr saya shbs sholat subuh masak d dpur sambil bwa hp . Bukayou tup ... Mendengarn ceramah usta somad... Seneng krn ceramhnya tdk membosankn . Smgustat slalu sehat pnjng umur amiiiin
1	Subhanalloh terimakasih ya Alloh hambumu ini selalu di beri ilmu.melalui UAS.semoga beliou dilindungi dari marabahaya siang dan malam di dunja dan di aherat. Aamiin ya robbal alamin.
1	Ya Allah semoga hmba ini sehat jasmani dan rohani Amin yrobl almn
1	Masya Allah tabarokallah..mksih bnyk Pak Ustad cramahnya sangt mngerti
1	Ust favorit ku...sehatkan selalu...ya Alloh
1	Allhamdulilah sangat bersyukur kita mempunyai Ustad Abdul somad.
1	Alhamdulillah kita bisamendengarkan ceramah uas mudahanberkah dunia akhirat
1	assalam alfadhil n semua..menarik tausiyyah tg.moga terus diberkati n drahmati Allah dberi keafiatan yg trbaik utk uas sekeluarga n kita semua aamiin ya mujib Ã‚Â·
0	Ya Allah berilah UAS sehat panjang umur
0	Semoga sehat selalu buat ustadz Somad.dari pengagummu
0	Masyaallah
0	Assalamualaikum
1	Semunya sangt bermanfaat ustadz..hatur syukron ustdz
1	( Allah Akbar ,, sungguh hebat ustaz Abdul Samad , insan lahir ka bumi Allah yng cukup istimewa ,, hmba tengok klip video tazkirah subuh ustaz Smpai sebak dada nitiskan air mata , do'aa hmba semoga ustaz diberi kesihatan olh Allah SWT selaku )
1	Assalamu'alaikum warahmatullahi wabaroka tuh,Buat semua pencinta guru kita uas ,jika mengundang beliau Berilah ia tempat duduk rasanya saya tak rela jika ia berceramah sambil berdiri. Untuk video ini Alhamdulillah beliau sambil duduk Ã¢â‚¬ËœÃ‚Â
0	Assalamualaikum, warahmatullahi wa barokah semoga sehat selalu dan semoga cepat dapat momongan lagi Aamiin.
0	Bismillah...
0	Masya Alloh
0	Assalamualaikum TUAN GURU UAS sy mohon doanya utk ank sy smoga ank2 sy menjadi org2 yg soleh. Terima kasih wassalamualikum warohmatullohi wabarokatuh.
1	Syukron UAS ilmunya semoga berkah untuk kita semuanya... aamiiin
0	Semoga sehat selalu tuan guru...
1	Alhamdulillah barokah ulama Abdul Somad
1	UAS Hebatt lanjut !!!
0	Assalamualakum pak ustad somad semoga sehat dan sukses selalu dunia akherat
1	Alhamdulillah sllu dapat ilmunya trimksih sehat sllu buat Tuan guru Ustadz AS Aamiin.
0	Assalamu'alaikum wrwb
0	Assalamualaikum.Semoga Ustadz Abdul Somad beserta keluarga nya,kru nya & kaum muslimin muslimat semua nya selalu sehat & selalu ada dalam lindungan Allah Subhanahuwata'ala.
0	Baik tak baik bukan pada bunyinya tapi bagaimana kita mengambil pelajaran...
0	Alhamdulillah barokah ulama Abdul Somad
0	Mudah - mudahan ustadz sehat selalu agar kita berjumpa di kabupaten Halmahera Selatan di bulan Januari ini.
0	Assalamu'alaikum Ade" Tim UAS , terutama Admin share dong Tauziah UAS di Ahad 16 Januari 2022 waktu subuh berjamaah di masjid Al Akhyar Kmpung Lembang ,Sudimara Barat Ciledug Tangerang bersama Gubernur Banten Ã¢â‚¬ËœÃ‚Â Ã¢â‚¬ËœÃ‚Â
1	Yah Allah ceramah nya membuat hatikuh sejuk sakalih
1	alhamdulillah..sehat ceria..semoga pak ustaz diprmudahkn ceramah
0	Assalamu'alaikum warahmatullahi wabarakatuh.
0	Semuga UAS diberi sehat panjang umur..
1	Alhamdulillah dpt ilmu ini
1	Barokalloh semoga pa kiyai selalu sehat wal afiyah
1	Alhamdulilah banyak yg ngk tau jd tsu dengar ceramah tuan guru UAS smoga sht panjang umur tuan guru ku
0	Assalamu'alaikum wr wb,Yaumil millad Tuan Guru,Semoga Sehat n bahagia sll bersama kel tercinta n selalu dlm lindungan Allah SWT Aamiin yaa Robbal Alamiin
0	Moga Allah kurniakan UAS sihat dan sentiasa dlm lindungan Allah
0	semoga ustat sehat Aamiin Aamiin Aamiin
0	Smg pak ustad panjang umur, amin ya robbal alamin
0	Asalamu alkm semoga pak ustadz slalu sehat
0	Bu Tati Bukittinggi . Semoga ustat sehat untk membagi ilmu agam untuk umat yang mmbutuhkan. Aamiin Berkah Ya Allah
0	Semoga ust sehat selalu
0	Assalamu'alaikum Serang Banten nyimak tuan guru UAS semoga Allah SWT melindungi dlm berdakwah n memberi kesehatan aamiin
0	assalammualaikum tuan guru, semoga tuan guru sehat selalu.
1	Alkhamdulillah tiada hari tampa mendengarkan ceramah pk ustazd Abdussomad tabarokallah Aamiin...
1	Alhamdulillah ceramahnya bikin adem hatiku ustadz,,semoga sehat sll ustadz.amiin
0	Assalam mualaikum warohmatullohi wabarokatuh Timur tengah Jeddah...salam santun Ustadz...semoga Ustadz Tuan guru selalu dlm lindungan Allah Swt dn d berikan sehat selalu dn d berikan umur panjang rezeki yg berlimpah dn barokah Aamiin yarobbal alaamiin...
0	Situbondo hadir tuan guru.semuga tuan guru sehat sll n panjang umur.
1	Terimakasih ya rob, dengan perantara mu, kita di beri petunjuk,
0	Alhamdulilah hironol alamin teurima kasih yg seubyak ilmu nya seumoga beurmanpa,at untuk ku dn tuksahbt ku
1	ya Allah semoga tuan guru ustad abdul somad sehat selalu dan panjang umur berkah ilmunya
0	Sehat selalu ustadz
0	Alhamdulillah hirobil'alamin slalu ngikuti tausiyah ustad uas wlo cuma lwt yuotube. Semoga ustad uas slalu sht slalu dlm lindungan Allah Swt Aamiin.
1	Sering sering dengerin
0	Mudah-mudahan ustadz diberi kesehatan dan umur yang panjang
0	Subhanallah,pak ustad somad
1	Assalamualaikum wr..wb..katuh tksh pak Ustad Abdul Somat atas pengertianya tlg Agama kami semoga ustad Somat beserta kel diberi kesehatan Aamiinnn .
0	Asalamualaikum... semuga ustadz diberi kesehatan sellu.
0	MasyaAllah
0	Masya Allah Thabarakallah Semooga Tuan Guru kt UAS dan Kita Semua Selalu Dalam Lindungan Allah SWT dr Angkara Murka Jin dan Manusia Aamiiin Ya Rabb...
1	Semoga UAS panjan uyyyyuag umur dan selalu .berdawa walaupun saya jauh melihat dan mendengar nya
0	Alhamdulilah.....
0	Alhdlillah...tuan guru UAS sehat selalu...!!!
0	Ya Allah mugi2 jenengan sehat selalu ustadz
1	Alhamdulillah sekarang ustad2 ternama pd punya chanel yutub ,jadi kajian nya full ga sepotong2,barakalloh.
0	Tetap semangat p..ustad somad,tetap sehat
1	Bang UAS ceramahnya makin dikembangkan materi ceramah nya dan diperkuat dalilnya, itu ustadz intelektual itu julukan Abang.
0	Semoga usradku selalu dlm lindungan Allah SWT
0	Assalamu'alaikum pa ustadz, semoga sehat selalu..amiin.
0	Sehat selalu Ustad kami...
1	Aku senang mendengar ceramah ustat
1	Assalamualaikom ustaz, padu mantap.AMIN. Ã‚Â
1	Assalam mualaikum ustadz matur suwun ilmu ilmu nya ustadz
1	Smg yg medengar tersentuh hati nya amiin allahumaa amin
0	Semoga Sehat selalu Tuanku Guru UAS
1	Semoga akan lahir atau bermunculan ustad seperti haji abdul somad untuk menerangi bangsa dalam negeri ini Aamiin Ya Rabb...
1	Mantap Ustaz.. sihat terus
0	Sehat slalu guru UAS......
0	alhamdulilah.anak ranto malasia hadir nyimak.tuwan guru kami tetap sehat dn pnjang umur amin,,
0	Alhamdulillah Taiwan hadir tuan guru ku
1	smoga ustad di sehatkan badan di berkahi umurnya ustad yg pling cerdas
0	Assalamu'alaikum Warahmatullahi Wabarokatuh
1	hangat sekali hati ini sangat menyentuh ceramah UAS.
0	Semoga sehat selalu Tuan Guru
0	Sehat selalu ustadz Abdul Somad
1	Sehat sll ust agar bs menuntun umat,kami membutuhkan ust yg cerdas seperti UAS,UAH,Arrazy dan byk ust kita yg lain yg cerdas dan lugas yg mmg ingin membimbing umat menuju Ridho Allah menuju JannahNya,Aamiin YRA
1	Semngat trus semoga sellu seht pk ustad,dan aku yg mnonton vidionya jg seht sllu amin
0	Subhanallah.. Alhamdulillah.. Semoga pa ustad somad dan kel. Diberikan kesehatan rizki yg berlimpah Aamiin..
0	Subhanallah Tabarokalloh
0	Alhamdulillah barokah ulama
0	Assalammualaikum ustad semoga sehat sllu dan panjang umur aamiin
0	Assalamu'alaikum wr wb salam subuh dari kendari
1	Barakaloohu, smg pk ustadz selalu dlm lindungan Allah
1	Pengajian yg mantab kapan di sidoarjo ada.. Semoga sidoarjo bisa mengundang beliau.Aamiin
1	Alhamdulillah terima kasih pak ustad Mugi barokah emak nderek ngaos mohon ijin amin
0	Subhanallah..
1	Alhamdulillah ustza, bgsx dawahx bikin kita ketawa.
0	Assalamualaikum
1	Assalam muaikum semuaya sht kalian semoga di beri umur pajang di beri kemudahan dn kelancaran buat kalian semuaya Amin semoga di beri rezeki sebyk mungkin Amin ingsallah pasti Allah memberi sesautu yg saat sempurna di hadapan Allah,Amin yarobal Alamin salam damai dn tenang dri Indonesia...
0	Masya Allah
1	Allah huakbar subhanallah masyallloh tabarakarlloh semoga UAS dan jamaah semua sehat waaliafiat panjang umurnya istigomah diridhai Allah dunia dan akhirat amin ya rabbal amin
0	Alhamdulillah barokah ulama
1	makasih pak uas sudah berbagi ilmu tentang ajaran nabi tercinta kita muhammad saw !!
0	Allah
